Date,ProcessID,IncidentType,Status,ResolutionTime_Hours
2023-03-20,103,Изменение структуры источника,Решено,19
2023-09-01,108,Ошибка валидации данных,В работе,0
2024-08-22,105,Таймаут API (LLM),Эскалировано,0
2024-04-22,108,Ошибка валидации данных,Решено,19
2024-04-07,101,Изменение структуры источника,Решено,30
2024-11-17,103,Ошибка валидации данных,Эскалировано,0
2025-05-18,103,Изменение структуры источника,Решено,9
2025-01-09,107,Ошибка валидации данных,Решено,28
2023-12-16,102,Таймаут API (LLM),В работе,0
2025-08-29,102,Блокировка доступа к БД,Эскалировано,0
2024-03-05,104,Изменение структуры источника,Решено,45
2025-11-26,107,Таймаут API (LLM),Решено,14
2025-09-19,106,Блокировка доступа к БД,Решено,32
2023-09-15,107,Блокировка доступа к БД,В работе,0
2024-06-09,107,Изменение структуры источника,Решено,21
2025-05-22,103,Таймаут API (LLM),Решено,24
2023-01-11,103,Изменение структуры источника,Решено,37
2025-08-30,101,Ошибка валидации данных,Решено,16
2024-05-25,106,Таймаут API (LLM),Решено,23
2024-10-22,102,Блокировка доступа к БД,Решено,43
2025-02-13,103,Таймаут API (LLM),Решено,4
2024-12-30,106,Ошибка валидации данных,Эскалировано,0
2025-05-30,101,Ошибка валидации данных,Решено,37
2025-04-02,103,Ошибка валидации данных,Решено,17
2025-10-17,107,Таймаут API (LLM),Решено,40
2023-04-23,104,Ошибка валидации данных,Решено,28
2024-08-23,102,Таймаут API (LLM),Решено,3
2024-11-01,105,Ошибка валидации данных,Решено,37
2025-10-24,106,Блокировка доступа к БД,Решено,38
2024-11-24,106,Блокировка доступа к БД,Решено,38
2025-07-04,102,Таймаут API (LLM),Решено,17
2024-08-16,102,Ошибка валидации данных,Решено,4
2025-07-10,104,Изменение структуры источника,Решено,5
2025-07-10,103,Ошибка валидации данных,Решено,31
2023-03-19,104,Таймаут API (LLM),Решено,22
2023-11-09,108,Изменение структуры источника,Решено,44
2023-01-04,105,Таймаут API (LLM),Решено,35
2023-07-11,105,Ошибка валидации данных,Эскалировано,0
2024-09-18,102,Ошибка валидации данных,Решено,36
2024-08-13,104,Таймаут API (LLM),Решено,15
2023-11-28,108,Ошибка валидации данных,Решено,22
2023-03-13,104,Таймаут API (LLM),Решено,30
2023-11-20,105,Блокировка доступа к БД,Решено,9
2025-04-19,105,Таймаут API (LLM),Решено,21
2025-10-28,102,Изменение структуры источника,Решено,2
2024-10-12,106,Таймаут API (LLM),Решено,32
2024-03-30,106,Таймаут API (LLM),Решено,22
2025-12-24,101,Ошибка валидации данных,Решено,43
2024-05-30,104,Изменение структуры источника,Решено,41
2025-06-06,104,Таймаут API (LLM),Решено,33
2025-07-09,104,Блокировка доступа к БД,Решено,22
2024-09-16,103,Блокировка доступа к БД,Решено,28
2023-02-28,105,Блокировка доступа к БД,Решено,47
2024-05-29,105,Ошибка валидации данных,Решено,13
2025-08-24,105,Блокировка доступа к БД,Решено,29
2024-07-27,106,Изменение структуры источника,Решено,10
2024-03-31,107,Таймаут API (LLM),Решено,19
2024-12-04,107,Таймаут API (LLM),Решено,18
2023-09-22,103,Таймаут API (LLM),В работе,0
2025-05-10,107,Блокировка доступа к БД,Решено,30
2024-05-01,106,Изменение структуры источника,Решено,32
2024-08-03,106,Ошибка валидации данных,Решено,46
2024-10-05,106,Изменение структуры источника,Решено,20
2024-11-19,103,Изменение структуры источника,В работе,0
2024-02-12,103,Блокировка доступа к БД,Решено,25
2024-10-19,105,Таймаут API (LLM),Решено,6
2025-10-29,104,Ошибка валидации данных,Решено,21
2023-12-17,102,Изменение структуры источника,Решено,28
2023-10-19,101,Таймаут API (LLM),Решено,17
2023-09-10,101,Блокировка доступа к БД,Решено,34
2025-01-30,107,Таймаут API (LLM),Решено,9
2025-11-09,107,Изменение структуры источника,Решено,45
2025-12-27,105,Таймаут API (LLM),Решено,9
2023-07-26,105,Изменение структуры источника,Решено,5
2025-11-14,108,Блокировка доступа к БД,Решено,46
2023-10-17,108,Блокировка доступа к БД,Решено,47
2025-12-27,107,Таймаут API (LLM),Решено,5
2024-06-22,103,Блокировка доступа к БД,Решено,46
2023-10-28,102,Ошибка валидации данных,Решено,41
2025-11-09,105,Таймаут API (LLM),В работе,0
2025-03-16,101,Блокировка доступа к БД,Решено,14
2024-10-10,106,Изменение структуры источника,Решено,40
2023-05-16,108,Таймаут API (LLM),Решено,9
2024-04-29,102,Блокировка доступа к БД,Решено,45
2024-05-15,107,Блокировка доступа к БД,Решено,23
2025-09-08,107,Блокировка доступа к БД,Решено,32
2025-03-11,103,Блокировка доступа к БД,Решено,9
2023-07-04,106,Ошибка валидации данных,Решено,17
2025-09-20,108,Изменение структуры источника,Решено,1
2024-01-04,102,Ошибка валидации данных,Решено,45
2025-04-16,104,Блокировка доступа к БД,Решено,25
2024-11-12,108,Блокировка доступа к БД,Решено,42
2024-03-07,106,Таймаут API (LLM),Решено,31
2023-09-16,103,Блокировка доступа к БД,Решено,44
2024-03-12,102,Таймаут API (LLM),Решено,1
2024-09-11,105,Ошибка валидации данных,Решено,46
2024-09-26,105,Таймаут API (LLM),Решено,37
2025-04-08,102,Ошибка валидации данных,Эскалировано,0
2025-03-15,105,Таймаут API (LLM),Решено,34
2024-07-09,108,Ошибка валидации данных,Решено,36
2023-09-11,103,Таймаут API (LLM),Решено,4
2023-09-11,101,Изменение структуры источника,В работе,0
2024-07-13,107,Изменение структуры источника,Решено,46
2023-09-03,108,Блокировка доступа к БД,Решено,28
2025-07-26,106,Блокировка доступа к БД,Решено,4
2024-02-02,103,Блокировка доступа к БД,Решено,40
2025-03-13,106,Изменение структуры источника,Решено,22
2023-03-09,102,Таймаут API (LLM),Решено,14
2023-10-26,108,Блокировка доступа к БД,Решено,14
2023-03-22,108,Ошибка валидации данных,Решено,2
2025-09-16,106,Изменение структуры источника,Решено,1
2024-08-31,104,Блокировка доступа к БД,Решено,31
2024-01-17,106,Изменение структуры источника,Эскалировано,0
2025-12-14,101,Блокировка доступа к БД,Решено,28
2024-02-11,104,Блокировка доступа к БД,Решено,13
2023-03-02,106,Блокировка доступа к БД,Решено,24
2025-07-27,105,Ошибка валидации данных,Решено,24
2024-02-10,104,Изменение структуры источника,Решено,23
2023-09-19,103,Ошибка валидации данных,Решено,14
2023-06-07,107,Блокировка доступа к БД,Решено,38
2025-10-24,106,Ошибка валидации данных,Решено,45
2024-08-06,107,Изменение структуры источника,В работе,0
2025-01-21,108,Блокировка доступа к БД,Эскалировано,0
2024-06-30,103,Таймаут API (LLM),Решено,6
2024-10-05,101,Таймаут API (LLM),В работе,0
2023-03-01,106,Таймаут API (LLM),Решено,23
2023-03-09,103,Изменение структуры источника,Решено,13
2024-02-28,103,Ошибка валидации данных,Решено,23
2025-07-07,108,Блокировка доступа к БД,Решено,38
2023-09-01,108,Таймаут API (LLM),Решено,14
2023-11-24,103,Таймаут API (LLM),Решено,42
2025-03-11,107,Блокировка доступа к БД,Решено,26
2025-12-16,108,Ошибка валидации данных,Решено,8
2025-01-22,104,Ошибка валидации данных,Эскалировано,0
2023-02-28,103,Изменение структуры источника,Эскалировано,0
2025-09-24,104,Ошибка валидации данных,Решено,3
2024-01-17,108,Ошибка валидации данных,Решено,43
2023-06-07,108,Блокировка доступа к БД,Решено,43
2024-09-10,102,Изменение структуры источника,Решено,36
2024-07-25,102,Таймаут API (LLM),Решено,37
2024-12-09,107,Ошибка валидации данных,Решено,30
2025-07-03,104,Таймаут API (LLM),Решено,14
2025-06-25,106,Блокировка доступа к БД,Эскалировано,0
2024-07-23,108,Ошибка валидации данных,Решено,13
2024-01-02,104,Блокировка доступа к БД,Решено,9
2024-01-13,103,Ошибка валидации данных,Решено,7
2024-06-10,101,Таймаут API (LLM),Решено,2
2023-01-04,103,Изменение структуры источника,Решено,29
2025-03-06,107,Таймаут API (LLM),Решено,41
2025-04-11,103,Ошибка валидации данных,Решено,40
2024-05-25,106,Блокировка доступа к БД,Решено,47
2023-01-23,104,Блокировка доступа к БД,Решено,44
2025-10-31,104,Таймаут API (LLM),Решено,3
2023-05-24,108,Таймаут API (LLM),Эскалировано,0
2023-10-21,105,Блокировка доступа к БД,Решено,35
2024-04-04,104,Блокировка доступа к БД,Решено,8
2024-06-09,107,Блокировка доступа к БД,Решено,15
2024-09-18,101,Таймаут API (LLM),Решено,3
2025-01-30,108,Блокировка доступа к БД,Решено,32
2024-02-12,106,Таймаут API (LLM),Решено,22
2024-12-13,106,Блокировка доступа к БД,Решено,20
2025-02-16,104,Блокировка доступа к БД,Решено,40
2024-01-06,101,Ошибка валидации данных,Решено,15
2025-08-05,108,Ошибка валидации данных,Решено,44
2024-01-10,102,Изменение структуры источника,Решено,6
2024-09-08,108,Изменение структуры источника,Решено,28
2024-05-22,108,Изменение структуры источника,Решено,15
2025-02-26,106,Ошибка валидации данных,Решено,30
2024-05-28,102,Таймаут API (LLM),Решено,5
2024-07-09,106,Таймаут API (LLM),В работе,0
2023-02-13,103,Ошибка валидации данных,Решено,40
2023-10-16,108,Таймаут API (LLM),Решено,27
2023-07-28,104,Изменение структуры источника,Решено,19
2023-10-11,107,Ошибка валидации данных,Решено,39
2024-07-14,103,Ошибка валидации данных,Решено,9
2024-05-15,107,Блокировка доступа к БД,Эскалировано,0
2025-12-19,103,Блокировка доступа к БД,В работе,0
2024-04-09,104,Таймаут API (LLM),Решено,31
2025-01-22,103,Блокировка доступа к БД,Решено,6
2025-05-09,104,Изменение структуры источника,Решено,29
2023-04-08,104,Ошибка валидации данных,Решено,33
2023-05-15,103,Ошибка валидации данных,Решено,47
2023-05-31,101,Таймаут API (LLM),Решено,14
2023-05-22,103,Таймаут API (LLM),Решено,4
2025-12-06,104,Таймаут API (LLM),Решено,20
2024-11-22,108,Таймаут API (LLM),Решено,45
2024-12-02,104,Блокировка доступа к БД,Решено,30
2024-12-27,103,Таймаут API (LLM),Решено,35
2024-10-14,101,Блокировка доступа к БД,Решено,44
2023-03-29,102,Изменение структуры источника,В работе,0
2024-03-17,106,Блокировка доступа к БД,Решено,47
2025-01-22,105,Блокировка доступа к БД,Решено,47
2025-03-03,103,Таймаут API (LLM),Решено,45
2024-01-07,108,Таймаут API (LLM),Решено,30
2024-07-20,104,Изменение структуры источника,В работе,0
2024-08-08,104,Блокировка доступа к БД,Решено,17
2025-10-20,103,Изменение структуры источника,Решено,17
2024-02-14,106,Блокировка доступа к БД,Решено,26
2023-03-03,104,Ошибка валидации данных,Решено,41
2024-04-03,107,Блокировка доступа к БД,В работе,0
2024-07-10,107,Ошибка валидации данных,Решено,17
2024-03-19,108,Ошибка валидации данных,Решено,45
2024-05-05,104,Блокировка доступа к БД,Решено,24
2023-11-23,106,Блокировка доступа к БД,Решено,9
2024-01-18,106,Таймаут API (LLM),Решено,5
2024-01-31,104,Таймаут API (LLM),Решено,9
2023-12-14,107,Изменение структуры источника,Решено,41
2024-01-02,107,Блокировка доступа к БД,Решено,30
2023-03-02,107,Блокировка доступа к БД,Решено,11
2024-04-17,101,Ошибка валидации данных,Эскалировано,0
2023-01-17,106,Изменение структуры источника,Решено,19
2025-12-18,101,Изменение структуры источника,Решено,31
2024-04-16,102,Изменение структуры источника,Решено,30
2024-05-15,103,Блокировка доступа к БД,Решено,31
2023-12-16,104,Блокировка доступа к БД,Решено,9
2024-05-11,108,Блокировка доступа к БД,Решено,33
2024-04-14,106,Изменение структуры источника,Решено,5
2023-12-10,105,Ошибка валидации данных,Решено,16
2023-01-25,103,Изменение структуры источника,Решено,44
2023-08-26,102,Ошибка валидации данных,В работе,0
2024-08-14,108,Ошибка валидации данных,Решено,17
2023-05-30,108,Таймаут API (LLM),Решено,6
2024-06-17,106,Ошибка валидации данных,Решено,27
2024-12-04,102,Блокировка доступа к БД,Решено,6
2024-05-12,104,Ошибка валидации данных,В работе,0
2025-09-16,103,Ошибка валидации данных,В работе,0
2025-07-05,101,Изменение структуры источника,В работе,0
2024-09-08,107,Таймаут API (LLM),Решено,30
2025-06-16,104,Блокировка доступа к БД,Решено,40
2025-11-28,104,Таймаут API (LLM),Решено,27
2023-07-26,104,Изменение структуры источника,Решено,38
2025-03-29,107,Блокировка доступа к БД,Решено,18
2024-03-23,102,Изменение структуры источника,Решено,38
2023-03-06,103,Ошибка валидации данных,В работе,0
2024-09-26,105,Изменение структуры источника,Решено,40
2023-03-24,106,Изменение структуры источника,Решено,36
2024-01-03,107,Таймаут API (LLM),В работе,0
2024-11-19,102,Ошибка валидации данных,Решено,20
2025-03-25,106,Ошибка валидации данных,Решено,27
2023-03-08,107,Ошибка валидации данных,Решено,20
2024-07-24,104,Изменение структуры источника,Решено,23
2025-12-16,101,Ошибка валидации данных,Решено,29
2025-09-30,102,Таймаут API (LLM),Решено,17
2023-07-22,105,Таймаут API (LLM),Решено,7
2025-05-07,107,Ошибка валидации данных,Решено,39
2024-07-25,106,Таймаут API (LLM),Решено,21
2024-10-18,102,Ошибка валидации данных,Решено,15
2025-11-29,101,Таймаут API (LLM),Решено,13
2024-11-08,102,Блокировка доступа к БД,Решено,19
2024-02-03,105,Блокировка доступа к БД,В работе,0
2023-11-30,105,Блокировка доступа к БД,Эскалировано,0
2025-04-07,108,Таймаут API (LLM),Решено,14
2024-05-14,107,Таймаут API (LLM),В работе,0
2025-12-10,101,Изменение структуры источника,Решено,6
2024-04-21,105,Изменение структуры источника,Решено,21
2025-02-24,103,Ошибка валидации данных,Решено,12
2025-10-26,102,Ошибка валидации данных,Решено,18
2023-06-01,105,Ошибка валидации данных,Решено,16
2023-02-26,102,Изменение структуры источника,В работе,0
2025-11-04,108,Изменение структуры источника,В работе,0
2023-05-17,106,Ошибка валидации данных,Решено,44
2023-09-27,103,Ошибка валидации данных,Решено,6
2024-12-01,108,Блокировка доступа к БД,Решено,14
2025-08-04,107,Таймаут API (LLM),Решено,27
2025-05-27,107,Изменение структуры источника,Решено,6
2024-05-07,108,Таймаут API (LLM),Решено,20
2024-01-09,104,Изменение структуры источника,Решено,40
2024-08-02,104,Таймаут API (LLM),Решено,8
2023-11-04,102,Изменение структуры источника,Решено,3
2025-06-29,102,Таймаут API (LLM),Решено,46
2023-12-16,107,Таймаут API (LLM),Решено,30
2023-08-13,108,Изменение структуры источника,Решено,11
2023-07-12,101,Изменение структуры источника,Решено,26
2024-09-03,105,Изменение структуры источника,В работе,0
2023-05-08,104,Таймаут API (LLM),Решено,8
2024-05-17,107,Таймаут API (LLM),Решено,28
2025-07-24,108,Ошибка валидации данных,Решено,10
2024-09-03,102,Блокировка доступа к БД,Решено,7
2024-04-01,103,Таймаут API (LLM),Решено,36
2024-09-21,106,Изменение структуры источника,Решено,23
2025-10-26,103,Изменение структуры источника,Решено,22
2024-10-25,106,Таймаут API (LLM),Решено,22
2023-07-29,108,Ошибка валидации данных,Решено,37
2023-06-29,108,Блокировка доступа к БД,Решено,20
2025-09-13,101,Ошибка валидации данных,Эскалировано,0
2025-06-11,103,Блокировка доступа к БД,Решено,24
2023-02-15,108,Таймаут API (LLM),Решено,35
2025-04-09,105,Изменение структуры источника,Решено,47
2024-06-11,106,Изменение структуры источника,Решено,6
2025-05-09,107,Блокировка доступа к БД,Решено,22
2025-09-07,102,Блокировка доступа к БД,В работе,0
2024-02-08,104,Ошибка валидации данных,Решено,33
2024-09-24,106,Таймаут API (LLM),Решено,16
2023-05-20,104,Изменение структуры источника,Решено,21
2025-08-24,102,Таймаут API (LLM),Решено,29
2023-05-14,104,Таймаут API (LLM),Эскалировано,0
2024-10-11,108,Таймаут API (LLM),Решено,7
2023-11-18,105,Изменение структуры источника,Решено,16
